No	Strain	Assembly	Refseq
1	Streptomyces avermitilis MA-4680 = NBRC 14893 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000009765.2/	https://www.ncbi.nlm.nih.gov/nuccore/NC_003155.5 
2	Streptomyces avermitilis MA-4680 = NBRC 14893 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000009765.2/ 	https://www.ncbi.nlm.nih.gov/nuccore/NC_004719.1
3	Streptomyces griseus subsp. griseus NBRC 13350 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000010605.1/ 	https://www.ncbi.nlm.nih.gov/nuccore/NC_010572.1
4	Mycolicibacterium smegmatis MC2 155 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000015005.1/ 	https://www.ncbi.nlm.nih.gov/nuccore/NC_008596.1
5	Amycolatopsis mediterranei U32 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000196835.1/ 	https://www.ncbi.nlm.nih.gov/nuccore/NC_014318.1
6	Streptomyces coelicolor A3(2) (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000203835.1/	https://www.ncbi.nlm.nih.gov/nuccore/NC_003888.3
7	Streptomyces coelicolor A3(2) (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000203835.1/	https://www.ncbi.nlm.nih.gov/nuccore/NC_003903.1
8	Streptomyces coelicolor A3(2) (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000203835.1/ 	https://www.ncbi.nlm.nih.gov/nuccore/NC_003904.1
9	Streptomyces collinus Tu 365 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000444875.1/	https://www.ncbi.nlm.nih.gov/nuccore/NC_021985.1
10	Streptomyces collinus Tu 365 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000444875.1/	https://www.ncbi.nlm.nih.gov/nuccore/NC_022001.1
11	Streptomyces collinus Tu 365 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000444875.1/	https://www.ncbi.nlm.nih.gov/nuccore/NC_021986.1
12	Streptomyces lividans TK24 (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_000739105.1/	https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP009124.1
13	Streptomyces coelicolor A3(2) (high GC Gram+)	https://www.ncbi.nlm.nih.gov/assembly/GCF_008931305.1/	https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP042324.1